"a közeli viszontlátásra!","à bientôt!"
"nyelvtan","grammaire f."
"nagypapa","grand-père m."
"nagymama","grand-mère f."
"nagy","grand, -e"
"Nagy-Britannia","Grande-Bretagne f."
"nagyközönség","grand public m."
"csûr","grange f."
"fürt","grappe f."
"zsíros; kövér","gras, grasse"
"hála","gratitude f."
"ingyen","gratis"
"felhõkarcoló","gratte-ciel m."
"kapar; vakar","gratter"
"ingyenes","gratuit, -e"
"komoly; súlyos; fontos","grave"
"jégesõ","grêle f."
"csengõ; csörgõ","grelot m."
"padlás","grenier m."
"béka","grenouille f."
"dara","grésil m."
"sztrájk","grève f."
"karom","griffe f."
"lefirkant","griffonner"
"nassol","grignoter"
"kenyérpirító","grille-pain m."
"mászik","grimper"
"fára mászik","grimper un arbre"
"szürke","gris, -e"
"rigó","grive f."
"röfög; morog","grogner"
"mormog; dörmög","grommeler"
"morog; szid; korhol","gronder"
"címsor","gros titre m."
"kövér","gros, -se"
"nagykereskedés","grosserie f."
"barlang","grotte f."
"nyüzsög; hemzseg; bizsereg","grouiller"
"csoportosít","grouper"
"kása; dara","gruau m."
"darázs","guêpe f."
"gyógyít","guérir"
"háború","guerre f."
"villámháború","guerre-éclair f."
"száj; pofa; arc; torok","gueule f."
"pénztár","guichet m."
"bohóc; paprikajancsi","guignol m."
"kacsint; pislant","guigner"
"idézõjel","guillemet m."
"mód; szokás; ízlés","guise f."
"gitár","guitare f."
"testnevelés; torna","gymnastique f."
"lakik","habiter"
"húsdaráló","hache-viande m."
"fejsze; bárd","hache f."
"gyûlölet","haine f."
"gyülöl","haïr"
"megállás","halte f."
"horog","hameçon m."
"lándzsanyél; zászlórúd","hampe f."
"hörcsög","hamster m."
"csípõ","hanche f."
"cserebogár","hanneton m."
"kísért; kínoz","hanter"
"lidércnyomás","hantise f."
"gyötör; zaklat; zavar","harceler"
"bátor; merész","hardi, -e"
"zöldbab","haricot vert m."
"bab","haricot m."
"gyorsít; siettet","hâter"
"hangosbeszélõ","haut-parleur m."
"büszke; gõgös","hautain, -e"
"magasság","hauteur f."
"csúcstechnológia","haute technologie f."
"kikötõ","havre m."
"hetilap","hebdomadaire m."
"héber","hébreu m."
"májgyulladás","hépatite f."
"fû","herbe f."
"fûszernövény","herbe aromatique f."
"eretnek","hérétique"
"boldog","hereux, -euse"
"sün","hérisson m."
"örökös","héritier, -ière"
"örököl","hériter"
"öröklés; örökség","héritage m."
"hõs(nõ)","héros, héroïne"
"habozik; tétovázik","hésiter"
"ebédidõ","heure du déjeuner f."
"túlóra","heure supplémentaire f."
"óra","heure f."
"meglök; megüt; nekiütközik","heurter"
"bagoly","hibou m."
"tegnap","hier"
"víziló","hippopotame m."
"fecske","hirondelle f."
"felvon; felhúz; felemel","hisser"
"történelem; történet","histoire f."
"tél","hiver m."
"ráz; mozgat","hocher"
"emberölés","homicide m."
"hódolat","hommage m."
"férfi","homme m."
"üzletember","homme d´affaires m."
"könnyûbúvár","homme-grenouille m."
"bábember","homme de paille m."
"Honduras","Honduras m."
"Magyarország","Hongrie f."
"megbecsülés; dicsõség; tisztelet","honneur m."
"megbecsül; tisztel","honorer"
"szégyen; gyalázat; szemérem","honte f."
"kórház","hôpital m."
"menetrend","horaire f."
"falióra","horloge f."
"kívül vmin","hors de"
"motorcsónak","hors-bord m."
"házigazda; vendéglátó; fogadós","hôte m."
"városháza","hôtel de ville m."
"szálloda","hôtel m."
"légikisasszony","hôtesse de l´air f."
"hullám","houle f."
"hajóablak","hublot m."
"olaj; étolaj","huile f."
"ajtónálló; teremõr","huissier m."
"nyolc","huit"
"osztriga","huître f."
"emberi; humánus","humain, -e"
"alázatos; szerény","humble"
"nedv(esség); kedv; hangulat","humeur f."
"megaláz","humilier"
"humor","humour m."
"ordít; üvölt","hurler"
"himnusz","hymne m."
"jéghegy","iceberg m."
"itt; ide","ici"
"fogalom; képzet; ötlet","idée f."
"azonosság","identité f."
"függetlenség","idépendance f."
"idétlen; hülye","idiot, -e"
"tiszafa","if m."
"nem tud","ignorer"
"õ h.","il"
"sziget","île f."
"megvilágít; felvilágosít","illuminer"
"híressé tesz; kitüntet; illusztrál","illustrer"
"õk","ils"
"kép","image f."
"kèpzelt","imaginaire"
"lakóház","immeuble m."
"lökés; összeütközés","impact m."
"pártatlan","impartial, -e"
"zsákutca; köz","impasse f."
"türelmetlen","impatient, -e"
"feddhetetlen; tökéletes","impeccable"
"esõköpeny","imperméable m."
"istentelen; kegyetlen","impie"
"könyörtelen; kíméletlen","impitoyable"
"udvariatlan","impoli, -e"
"fontos","important -e"
"importál","importer"
"szab; elõír","imposer"
"adó","impôts m. pl."
"adó; illeték","impôt m."
"nyomtató","imprimante f."
"nyomtat","imprimer"
"meggondolatlanság","imprudence f."
"szemérmetlenség; szemtelenség","impudence f."
"tulajdonít","imputer"
"felavat; bevezet","inaugurer"
"börtönbe vet","incarcérer"
"megtestesülés","incarnation f."
"hitetlen","incrédule"
"India","Inde f."
"körzetszám","indicatif m."
"közömbös","indifférent, -e"
"felháborodás; méltatlankodás","indignation f."
"bennszülött; õshonos","indigène m. f."
"fegyelmezetlenség","indiscipline f."
"engedetlen","indocile"
"megbocsátás; elnézés","indulgence f."
"becstelenség; aljasság","infamie f."
"pokoli","infernal, -e"
"dúl; fosztogat","infester"
"végtelenség","infinité f."
"fõnévi igenév","infinitif m."
"végtelen","infinitesimal, -e"
"ápoló(nõ)","infirmier, -ière"
"számítástechnika","informatique f."
"hírek","informations f. pl."
"informatikus","informaticien m."
"kezelhetetlen","ingérable"
"alapanyagok","ingrédients m. pl."
"innováció; felfedezés","innovation f."
"árvíz","inondation f."
"beiratkozás","inscription f."
"betesz; behelyez; közöl","insérer"
"kitart vmi mellett; erõsködik; sürget","insister"
"szemtelen","insolent, -e"
"álmatlanság","insomnie f."
"felügyelõ","inspecteur m."
"sugalmaz; lelkesít; belélegzik","inspirer"
"beiktat; elhelyez; beültet","installer"
"sürgõs","instant, -e"
"intézet","institut m."
"ösztön","instinct m."
"alapító; tanító","instituteur, -trice"
"mûszaki egyetem","institut universitaire de technologie m."
"szerszám; eszköz; hangszer","instrument m."
"érintetlen","intact, -e"
"riportot készít","interviewer"
"érdekes","interéssant, -e"
"félbeszakít","interrompre"
"távolság; intervallum","intervalle m."
"közbelép; beleavatkozik","intervenir"
"tilos; tiltott","interdit, -e"
"érdek; kamat","intérêt m."
"tolmács","interprète f., m."
"kollégium","internat m."
"beszélgetõtárs","interlocuteur, -trice"
"közbeesõ; közvetítõ","intermédiaire"
"bél","intestin m."
"megfélemlít","intimider"
"belsõ; bizalmas; intim","intime"
"meseszövés; intrika","intrigue f."
"bevezet; behelyez","introduire"
"bemutatás; bevezetés; betelepítés","introduction f."
"betolakodás; befurakodás","intrusion f."
"betolakodó","intrus, -e"
"megérzés; elõérzet","intuition f."
"haszontalan; fölösleges; hiábavaló","inutile"
"betörés; invázió","invasion f."
"feltaláló","inventeur m."
"találmány","invention f."
"fordított","inverse"
"meghív","inviter"
"vendég","invité m."
"szivárvány; szivárványhártya","iris m."
"szabálytalanság","irrégularité f."
"öntözés; öblítés","irrigation f."
"izgat; ingerel","irriter"
"irritáció","irritation f."
"zerge","isard m."
"iszlám","islam m."
"elszigetelés","isolation f."
"Olaszország","Italie f."
"úti","itinéraire"
"útiterv; útinapló","itinéraire m."
"elefántcsont","ivoire m."
"részeg; ittas","ivre"
"holtrészeg","ivre mort, -e"
"iszákos; részeges","ivrogne, ivrognesse"
"kullancs","ixode m."
"jácint","jacinthe f."
"irigy","jaloux, -use"
"valaha; soha","jamais"
"comb","jambe f."
"sonka","jambon m."
"január","janvier m."
"Japán","Japon m."
"kert","jardin m."
"kertész","jardinier m."
"konyhakert","jardin potager m."
"sárga","jaune"
"én","je"
"kérem; csak tessék","je vous en prie"
"farmernadrág","jean m."
"dob; vet","jeter"
"zseton","jeton m."
"társasjáték","jeu de société m."
"játék","jeu m."
"csütörtök","jeudi m."
"fiatal","jeune"
"öröm; vidámság","joie f."
"egyesít; összeköt; hozzátesz","joindre"
"csinos","joli, -e"
"nárcisz","jonquille f."
"orca","joue f."
"játszik vmit","jouer à qc"
"játszik vmin","jouer de qc"
"játék(szer)","jouet m."
"játékos","joueur m."
"nap","jour m."
"karácsony elsõ napja","jour de Noël m."
"újév","jour de l´An m."
"újság","journal m."
"képes újság","journal illustré m."
"újságíró","journalist, -e"
"Boldog karácsonyt!","Joyeux Noël!"
"felül; kakasülõn ül","jucher"
"bíró","juge m."
"ítél; megítél","juger"
"július","juillet m."
"június","juin m."
"estike","julienne f."
"iker","jumeau m."
"õserdõ","jungle f."
"szoknya","jupe f."
"alsószoknya","jupon m."
"gyümölcslé","jus de fruit m."
"amíg","jusqu´à ce que"
"igaz(ságos); helyes; pontos; éppen","juste"
"igazol; okol","justifier"
"igazság","justice f."
"melléhelyez; mellérendel","juxtaposer"
"kenguru","kangourou m."
"kiló","kilo m."
"újságosbódé","kiosque m."
"kürt","klaxon m."
"ott","là"
"laboratórium","laboratoire m."
"szánt","labourer"
"tó","lac m."
"lazít; elereszt","lâcher"
"lazán; gyáván","lâchement"
"csúnya","laid, -e"
"gyapjú; fonal","laine f."
"elejt","laisser tomber"
"hagy; otthagy; elhagy","laisser"
"menetlevél","laissez-passer m."
"tej","lait m."
"penge; lap","lame f."
"lámpa","lampe f."
"dob","lancer"
"vkit párviadalra hív","lancer un défi à q"
"nyelv","langue f."
"lámpavas","lanterne f."
"megkövez","lapider"
"nyúl","lapin m."
"széles","large"
"szélesség","largeur f."
"kifáraszt","lasser"
"fáradtság; kimerültség","lassitude f."
"mosdó","lavabo m."
"mosogatógép","lave-vaisselle m."
"mos","laver"
"mosókonyha","lavoir m."
"a; az","le, la, les"
"nyal; nyalogat","lécher"
"lecke; tanóra","leçon f."
"lektor; olvasó","lecteur, -trice"
"olvasás; olvasmány","lecture f."
"zöldség; fõzelék","légume m."
"másnap","lendemain"
"lassú","lent, -e"
"sérülés","lesion f."
"szennyes","lessive f."
"motivációs levél","lettre de motivation f."
"humán tárgyak","lettres f. pl."
"levél; betû","lettre f."
"kovász; élesztõ","levain m."
"napfelkelte","lever du soleil m."
"ajak","lèvre f."
"szitakötõ","libellule f."
"megnevezés","libellé m."
"szabadság","liberté f."
"könyvesbolt","librarie f."
"szabad","libre"
"elbocsát; elküld","licencier"
"engedély; igazolvány","licence f."
"kapcsolat; link","lien m."
"összeköt","lier"
"hely; helyszín","lieu m."
"határ(érték)","limite f."
"oroszlán","lion m."
"cseppfolyósít; olvaszt","liquéfier"
"folyadék","liquide m."
"olvas","lire"
"olvasható","lisible"
"lista","liste f."
"ágy","lit m."
"ágynemû","literie f."
"liter","litre m."
"irodalmi","littéraire"
"irodalom","littérature f."
"Litvánia","Lituanie f."
"könyv","livre m."
"zsebkönyv","livre de poche m."
"elszállít; átad; kiszolgáltat","livrer"
"font; frank; fél kiló","livre f."
"lebeny; karéj","lobe m."
"bérlõ","locataire f. m."
"bérlés; bérbeadás; jegyeladás","location f."
"mozdony","locomotive f."
"lakás","logement m."
"elhelyez; elszállásol","loger"
"program; szoftver","logiciel m."
"logika","logique f."
"logikus; észszerû","logique"
"törvény","loi f."
"távoli","loin"
"távol","loin de"
"távoli","lointain, -e"
"szabadidõ; szabadidõs elfoglaltság","loisir m."
"London","Londres m."
"játékfilm","long métrage m."
"hosszú","long, -ue"
"hosszúság","longeur f."
"soká","longtemps"
"hosszúság","longueur f."
"Lotaringia","Lorraine f."
"akkor; azóta; ezért","lors"
"amikor; ha","lorsque"
"sorsjáték; lutri","loterie f."
"lemosás; fürdõ; lemosószer","lotion f."
"dicséret","louange f."
"bérbe ad","louer"
"dicsér; magasztal","louer"
"Lujza","Louise f."
"Lajos","Louis m."
"farkas","loup m."
"farkasember","loup-garou m."
"nehèz","lourd, -e"
"becsületes; hûséges","loyal, -e"
"érzékiség; bujaság","lubricité f."
"világos; tiszta","lucide"
"gyenge fény; csillogás","lueur m."
"szánkó","luge f."
"szánkózik","luger"
"gyászos; komor","lugubre"
"õ h.","lui"
"fény; világítás","lumière f."
"fényes; világító; világos","lumineux, -euse"
"hétfõ","lundi m."
"hold","lune f."
"mézeshetek","lune de miel f."
"távcsõ; tb. szemüveg","lunette f."
"napszemüveg","lunettes de soleil f."
"jókedvû; merész","luron, -onne"
"fény; ragyogás; csillár","lustre m."
"birkózik; küzd; vetélkedik","lutter"
"gimnázium","lycée m."
"szakközépiskola","lycée professionnelle f."
"gép","machine f."
"mosógép","machine à laver f."
"számológép","machine à calculer m."
"hölgy","madame"
"üzlet","magasin m."
"vámmentes bolt","magasin hors-taxe m."
"folyóirat","magazine m."
"videó","magnétoscope m."
"magnó","magnétophone m."
"nagyszerû; pompás","magnifique"
"május","mai m."
"sovány","maigre"
"trikó; pólya","maillot m."
"kéz","main f."
"de","mais"
"kukorica","maïs m."
"ház","maison f."
"javító intézet","maison de redressement f."
"kiadó","maison d´édition f."
"bolondokháza","maison de fous f."
"úszómester","maître nageur m."
"fenséges","majestueux, -euse"
"többség; nagykorúság","majorité f."
"nagybetû","majuscule f."
"rossz","mal, -e"
"betegség","maladie f."
"beteg","malade"
"ügyetlen; balkezes","maladroit, -e"
"vminek ellenére","malgré"
"boldogtalan","malhereux, -euse"
"baj; csapás","malheur m."
"rosszindulat; malícia","malice f."
"gonosz","malin, maligne"
"rosszindulat","malveillance f."
"anyu","maman f."
"nagyi","mamie f."
"emlös","mammifère m."
"kézelõ; manzsetta","manchette f."
"körhinta","manège m."
"eszik","manger"
"mód","manière f."
"kinyilvánít; tüntet","manifester"
"mesterkedés; fortély","manigance f."
"manipulál; kever; rendez","manipuler"
"manöken","mannequin m."
"elhibáz; elvét; nélkülöz","manquer"
"lekési a vonatot","manquer le train"
"hiány","manque m."
"kabát","manteau m."
"sûrû bozótos","maquis m."
"konyhakertész; konyhakerti","maraîcher, -ère"
"mocsár","marais m."
"elgyengülés; pangás; érzéketlenseg","marasme m."
"márvány","marbre m."
"márka; seprû; törköly","marc m."
"lép; megy; menetel","marcher"
"lemezbolt","marchand de disques m."
"boltos; kereskedõ","marchand, -e"
"lépcsõfok","marchepied m."
"kedd","mardi m."
"tócsa; pocsolya","mare f."
"marsall","maréchal m."
"mocsár; ingovány","marécage m."
"margarin","margarine f."
"szél; szegély; margó","marge f."
"férj","mari m."
"házasság","mariage m."
"võlegény","marié m."
"menyasszony","mariée f."
"tengerész","marin m."
"lekvár; gyümölcsíz","marmelade f."
"fazék; lábas","marmite f."
"mormota","marmotte f."
"gólt lõ","marquer un but"
"márki","marquis m."
"jel; jegy; ismertetõjel","marque f."
"szórakoztató","marrant, -e"
"március","mars m."
"kalapács","marteau m."
"szempillafesték","mascara m."
"hím; férfi; hímnemû","masculin, -e"
"mészárlás; vérfürdõ","massacre m."
"szájhõs","matamore m."
"verseny; meccs","match m."
"matrac","matelas m."
"anyag; hardver","materiel m."
"matematika","maths f. pl."
"tantárgy","matière f."
"nyersanyag","matière première f."
"reggel; délelõtt","matin m."
"komondor; kuvasz","mâtin m."
"megbotoz; gumibottal ver","matraquer"
"átkoz","maudire"
"rossz; gonosz","mauvais, -e"
"gyom","mauvaise herbe f."
"szerelõ","mécanicien m."
"szemtelen","méchant, -e"
"elégedetlen","mécontent, -e"
"doktor(nõ)","médecin m."
"média","medias m. pl."
"bizalmatlanság; gyanakvás","méfiance f."
"kever","mélanger"
"kever; vegyít; elegyít","mêler"
"dinnye","melon m."
"tag; végtag","membre m."
"azonos","même"
"memória; emlék(ezet)","mémoire f."
"emlékirat; értekezés; számla","mémoire m."
"fenyegetés; veszély","menace f."
"takarékosan használ; kímél","ménager"
"háztartás","ménage m."
"koldul","mendier"
"vezet; irányít; intéz","mener"
"agyhártyagyulladás","méningite f."
"hazugság","mensonge m."
"havi","mensuel, -elle"
"hazudik","mentir"
"említ; megemlít","mentionner"
"áll","menton m."
"asztalosmûhely","menuiserie f."
"tévedés; félreértés","méprise f."
"megvet; semmibe vesz","mépriser"
"tenger","mer f."
"rövidáruüzlet","mercerie f."
"zsoldsos","mercenaire m."
"kegyelem; irgalom","merci f."
"szerda","mercredi m."
"higany","mercure m."
"anya","mère f."
"kiérdemel; rászolgál","mériter"
"feketerigó","merle m."
"csodálatos","merveilleux, -euse"
"üzenet; jelentés","message m."
"mise","messe f."
"mér","mesurer"
"mérték; méret","mesure f."
"anyagcsere","métabolisme m."
"fém","métal"
"idõjárás-jelentés","météo f."
"foglalkozás","métier m."
"méter","mètre m."
"metró","métro m."
"tesz; helyez","mettre"
"pénzt tesz a bankba","mettre de l´argent en banque"
"beállít","mettre au point"
"kidob","mettre à la porte"
"összeegyeztet","mettre d´accord"
"tájékoztat","mettre au courant de qc"
"megterít","mettre la table"
"idõt fordít arra, hogy","mettre du temps à inf."
"törvényen kívül helyez","mettre hors la loi"
"postára ad","mettre à la poste"
"bútor; ingóság","meuble m."
"szénakazal","meule de foin f."
"gyilkosság","meurtre m."
"megsebez; felhorzsol","meurtrir"
"Mexikó","Mexique m."
"nyávog","miauer"
"dél(idõ)","midi m."
"méz","miel m."
"morzsa","miette f."
"bájos","mignon, -ne"
"lassú tûzön fõz v. süt; szít","mijoter"
"közép; környezet","milieu m."
"ezer","mille"
"millió","million"
"utánoz; mímel","mimer"
"karcsú","mince"
"bánya; akna; kép; megjelenés","mine f."
"kisebbség; kiskorúság","minorité f."
"éjfél","minuit m."
"parányi","minuscule"
"perc","minute f."
"õrtorony","mirador m."
"irányzék","mire f."
"fénylik; csillog","miroiter"
"géppuska","mitrailleuse f."
"turmixgép","mixeur m."
"moped","mobylette f."
"modernizál","moderniser"
"én","moi"
"kisebb; kevesebb","moindre"
"veréb","moineau m."
"szerzetes","moine m."
"-ból; -bõl","moins"
"hónap","mois m."
"lábikra","mollet m."
"világ","monde m."
"síoktató","moniteur m."
"úr","monsieur"
"hegy","mont m."
"hegy; hegység","montagne f."
"felmegy","monter"
"felszáll","monter dans"
"szerelõ; vágó","monteur, -euse"
"karóra","montre f."
"mutat; tanúsít","montrer"
"szõnyegpadló","moquette f."
"harap; csíp; mar","mordre"
"halál","mort f."
"jelszó","mot de passe m."
"szó","mot m."
"ok; indíték","motif m."
"motor","moto f."
"puha; lágy","mou, mol, molle"
"légy","mouche f."
"zsebkendõ","mouchoir m."
"õröl; megdarál","moudre"
"fintor","moue f."
"sirály","mouette f."
"áztat; nedvesít; avat","mouiller"
"minta; (öntõ)forma","moule m."
"formába önt; formáz","mouler"
"meghal","mourir"
"szúnyog","moustique m."
"bajusz","moustache f."
"must","moût m."
"mustár","moutarde f."
"juh","mouton m."
"mozgás; mozdulat","mouvement m."
"mozgat","mouvoir"
"közepes","moyen, -ne"
"eszköz; mód","moyen m."
"átlag","moyenne f."
"vedlés","mue f."
"néma","muet, -te"
"bõg","mugir"
"szoroz","multiplier"
"ellát; felszerel","munir"
"nyálkás","muqueux, -euse"
"fal","mur m."
"érett","mûr, -e"
"vastag fal; tb. bástyák","muraille f."
"muskotályszõlõ","muscat m."
"izom","muscle m."
"szájkosár","muselière f."
"zenész(nõ)","musicien, -ne"
"zene; ének-zene","musique f."
"bujtogat; lázít","mutiner"
"kölcsönösség; viszonosság","mutualité f."
"rövidlátó","myope"
"nefelejcs","myosotis m."
"áfonya","myrtille f."
"úszás","nage f."
"uszony","nageoire f."
"úszik","nager"
"háton úszik","nager sur le dos"
"mellen úszik","nager le brasse"
"gyorsúszik","nager le crawl"
"törpe","nain, -e"
"születés","naissance f."
"születik","naïtre"
"terítõ","nappe f."
"nemzet","nation f."
"természet; világ","nature f."
"hajótörés","naufrage m."
"fehérrépa","navet m."
"hajó","navire m."
"nemigen; alig","ne ... guère"
"mégis; mindamellett","néanmoins"
"figyelmetlen","négligent, -e"
"tárgyalás","négociation f."
"tárgyal; kereskedik; alkuszik","négocier"
"hó","neige f."
"tisztítás; takarítás","nettoyage m."
"nagytakarítás","nettoyage à fond m."
"kilenc","neuf"
"új; kezdõ","neuf, neuve"
"neuron","neurone m."
"unokaöccs","neveu m."
"orr","nez m."
"kutyaól","niche f."
"fészek","nid m."
"unokahúg","nièce f."
"szint","niveau m."
"esküvõ","noces f."
"karácsony","Noël"
"fekete","noir, -e"
"dió","noix f."
"családi név","nom de famille m."
"leánykori név","nom de jeune fille m."
"név","nom m."
"szám; mennyiség","nombre m."
"tõszámnév","nombre cardinal m."
"nem","non"
"nemdohányzó","non-fumeurs"
"szervezetlen","non-organisé, -e"
"észak","nord"
"jegyzõ","notaire m."
"jel; jegy; hangjegy","note f."
"fogalom; képzet","notion f."
"dada","nounou f."
"mi","nous"
"újság; újdonság; hír; novella; elbeszélés","nouvelle f."
"Új-Zéland","Nouvelle-Zélande f."
"újszülött","nouveau-né"
"november","novembre m."
"vízbe fojt; elsüllyeszt","noyer"
"meztelen","nu, -e"
"felhõ","nuage m."
"árnyalt; nüánsz","nuance f."
"árt vkinek","nuire à q"
"éjszaka","nuit f."
"telefonszám","numéro de téléphone m."
"nyakszirt; tarkó","nuque f."
"engedelmeskedik","obeir à q"
"szófogadó","obéissant, -e"
"elfogulatlan","objectif, -ive"
"tárgy","objet m."
"kötelezõ","obligatoire"
"kötelez","obliger"
"sötét; homályos; rejtett","obscur, -e"
"ostromol","obséder"
"megfigyelés","observation f."
"kívülálló","observateur impartial m."
"rögeszme","obsession f."
"elavult; nem használatos","obsolète"
"makacs; konok","obstiné, -e"
"megszerez; elnyer; kitermel","obtenir"
"ösztöndíjat kap","obtenir une bourse f."
"elhelyezkedik","obtenir un poste"
"alkalom; ok; ürügy","occasion f."
"nyugati","occidental, -e"
"rejtett; okkult","occulte"
"elfoglalt","occupé, -e"
"elfoglal","occuper"
"október","octobre m."
"szag; illat; bûz","odeur f."
"szaglás","odorat m."
"szem","oeil m., yeux pl."
"bögöly","oestre m."
"tojás","oeuf m."
"megsért; bánt","offenser"
"szolgálat; tisztség; hivatal","office m."
"hivatalos","officiel, -elle"
"félhivatalos; szolgálatkész","officieux, -euse"
"hivatalnok","officier m."
"ajándékoz; ad","offrir"
"liba","oie f."
"hagyma","oignon m."
"madár","oiseau m."
"árnyék","ombre f."
"omlett","omelette f."
"elmulaszt; mellõz; kihagy","omettre"
"elmulasztás; mellõzés","omission f."
"mindenható","omnipotent, -e"
"az emberek; mi","on"
"vadszamár","onagre m."
"nagybácsi","oncle m."
"hab; hullám; áradat","onde f."
"köröm","ongle m."
"tizenegy","onze"
"opera","opéra f."
"mûtét; mûvelet","opération f."
"véghezvisz; mûvel","opérer"
"vélemény; nézet; felfogás","opinion f."
"szembeállít","opposer"
"elnyom; leigáz","opprimer"
"vihar","orage m."
"narancs","orange f."
"narancssárga","orange"
"zenekar","orchestre m."
"számítógép","ordinateur m."
"rendes; általános; közepes","ordinaire"
"recept","ordonnance f."
"rendez; elrendel","ordonner"
"rend; elrendezés","ordre m."
"piszok; szemét; szenny","ordure f."
"fül","oreille f."
"párna","oreiller m."
"aranymûves; ötvös","orfèvre m."
"szervez; rendez","organiser"
"szerv; hangszín","organe m."
"árpa","orge f."
"árpa (szemen)","orgelet m."
"orgia; dorbézolás","orgie f."
"gõg; kevélység; büszkeség","orgueil m."
"keleti","oriental, -e"
"tájol","orienter"
"kelet","orient m."
"nyílás","orifice m."
"majoranna","origan m."
"origó","origine f."
"szilfa","orme m."
"díszít; ékít","orner"
"kerékvágás","ornière f."
"árva","orphelin, -e"
"lábujj","orteil m."
"helyesírás","ortographe f."
"csont","os m."
"sóska","oseille f."
"elvesz; levesz; elvisz","ôter"
"vagy","ou"
"hol; hová; ahol; amikor","où"
"elfelejt; elmulaszt","oublier"
"nyugat","ouest m."
"igen","oui"
"hallás","ouïe f."
"orkán; szélvész","ouragan m."
"medve","ours m."
"jegesmedve","ours blanc m."
"szerszám; eszköz","outil m."
"sértés; szidalom; rombolás","outrage m."
"tömlõ","outre f."
"vmin kívül; vmin felül","outre"
"túlzott; szertelen","outré, -e"
"azonkívül, hogy","outre que"
"lazúrkõ; ultramarin","outremer m."
"túloz; felháborít","outrer"
"nyitva","ouvert, -e"
"munka; dolog; mû","ouvrage m."
"jegyszedõnõ","ouvreuse f."
"kinyit","ouvrir"
"kõmûves","ouvrier m."
"ovális","oval, -e"
"juh","ovin, -e"
"tojásrakó","ovipare m."
"Csendes-óceán","Pacifique m."
"szerzõdés; egyezmény","pacte m."
"lap; oldal","page f."
"pogány","païen, -enne"
"lábtörlõ","paillasson m."
"szalma","paille f."
"kenyér","pain m."
"békés","paisible"
"béke; nyugalom","paix f."
"halvány","pâle"
"nívó; szint; fokozat","palier m."
"díjazott","palmarès m."
"kosár","panier m."
"panel","panneau m."
"nadrág","pantalon m."
"papucs","pantoufle f."
"papucsférj","pantouflard m."
"levélpapír","papier à lettres m."
"papír","papier m."
"tapéta","papier peint m."
"pillangó","papillon m."
"dumál; fecseg","papoter"
"utasszállító hajó","paquebot m."
"százszorszép","pâquerette f."
"húsvét","Pâques"
"doboz; csomag","paquet m."
"-on; -en; -ön; által","par"
"légiposta","par avion"
"fölé; fölött","par dessus"
"ejtõernyõ","parachute m."
"parádé","parade f."
"megjelenik; feltûnik","paraître"
"esernyõ","parapluie m."
"körülírás; parafrázis","paraphrase f."
"napernyõ","parasol m."
"park","parc m."
"áttekint; átfut; bejár","parcourir"
"felöltõ","pardessus m."
"megbocsát","pardonner"
"bocsánat","pardon m."
"szélvédõ","pare-brise m."
"hasonló; ugyanaz","pareil, -le"
"szülõ","parent m."
"elhárít; kivéd","parer"
"díszít; felékesít","parer"
"lusta","paresseux, -euse"
"néha","parfois"
"illatos","parfumé, -e"
"kölni","parfum m."
"parkolóhely","parking m."
"beszél","parler"
"országgyûlés","parlement m."
"közé; között; körében","parmi"
"szó; beszéd","parole f."
"megosztja a problémákat","partager les problèmes"
"virágágy","parterre m."
"párt","parti m."
"részt vesz (aktívan)","participer"
"jellegzetes; különös","particulier, -ière"
"rész","partie f."
"elmegy; elutazik","partir"
"mindenfelé","partout"
"nem","pas"
"lépés","pas m."
"húsvéti","pascal, -e"
"gyalogos-átkelõhely","passage clouté m."
"aluljáró","passage souterrain m."
"utas","passager m."
"porszívózik","passer l´aspirateur"
"átmegy; tovább megy; átlép; átkel vmin","passer"
"útlevél","passeport m."
"hajópadló","passerelle f."
"múlt","passé m."
"vizsgát tesz","passer un examen"
"szenvedély","passion f."
"passzív","passif, -ive"
"pásztor","pasteur m."
"süteménytészta; paszta","pâte f."
"pástétom","pâté m."
"türelmes; béketûrõ","patient, -e"
"korcsolya","patin m."
"korcsolyázás","patinage m."
"cukrászda","pàtisserie f."
"örökség; családi vagyon","patrimonie f."
"hazaszeretet","patriotisme m."
"fõnök; munkáltató; szabásminta","patron, -ne"
"mancs","patte f."
"tenyér","paume f."
"szemhéj","paupière f."
"szünet; pihenõ","pause f."
"szegény","pauvre"
"fizet","payer"
"vidék; ország","pays m."
"Hollandia","Pays-Bas m. pl."
"paraszt(asszony)","paysan, -anne"
"vidék; táj","paysage m."
"bõr","peau f."
"rézbõrû","peau-rouge"
"halászik","pêcher"
"vétkezik; bûnt követ el","pécher"
"gyalog; gyalogos","pédestre"
"fésû","peigne m."
"pongyola","peignoir m."
"fürdõköpeny","peignoir de bain m."
"fest","peindre"
"büntetés; szenvedés","peine f."
"festmény; festék","peinture f."
"összevisszaság; zûrzavar","péle-mêle m."
"zarándok","pèlerin, -e"
"zarándoklat; zarándoklás","pèlerinage m."
"hámoz; kopaszt","peler"
"bunda","pelisse f."
"lapát","pelle f."
"film(szalag)","pellicule f."
"gombolyag; halom; csomó","pelote f."
"gombolyag; mezõny","peloton m."
"pázsit","pelouse f."
"héj; gyümölcshéj","pelure f."
"büntetés; szabadrúgás","pénalité f."
"meghajt; lehajt","pencher"
